CustomerID,Recency,Monetary,Cluster
C5421075,30,15.0,0
C6942340,27,121.0,0
C3338178,25,23.0,0
C6318652,26,105.07,0
C3971383,26,30.0,0
C2239337,26,10.0,0
C1610214,29,10.0,0
C7811142,29,155.0,0
C8136631,26,135.0,0
C2211814,26,1.0,0
C5560160,27,10.0,0
C7829961,27,93.0,0
C2740972,26,25.0,0
C3917215,26,30.0,0
C7815215,25,99.0,0
C7240553,22,100.0,0
C5827847,22,30.0,0
C7130878,25,150.0,0
C8939669,30,150.0,0
C2553679,30,14.0,0
C5836626,30,30.0,0
C3224018,30,132.0,0
C6688731,27,98.0,0
C4235076,27,100.0,0
C7710244,27,11.0,0
C4932820,27,60.0,0
C7928413,30,100.0,0
C4730713,26,100.0,0
C2599251,25,50.0,0
C7528738,26,50.0,0
C3419968,26,10.0,0
C8732741,26,50.0,0
C7530760,26,1.54,0
C7326237,29,50.0,0
C5922350,25,137.0,0
C5039858,26,95.0,0
C6688869,26,20.0,0
C6895831,25,50.0,0
C1021572,27,10.0,0
C2882825,26,2.52,0
C4180952,27,32.0,0
C8641271,27,35.0,0
C2951647,26,150.0,0
C7894482,27,125.0,0
C4174043,27,100.0,0
C7190374,27,25.0,0
C8813549,22,100.0,0
C6621412,26,50.0,0
C2328892,26,120.0,0
C3016123,22,88.0,0
C1134360,26,88.0,0
C1914314,25,37.0,0
C1620524,30,30.0,0
C5225738,25,10.0,0
C9017319,29,133.28,0
C8333690,30,159.0,0
C8556060,30,39.0,0
C3225434,30,49.0,0
C7432067,27,50.0,0
C8032774,27,50.0,0
C4241978,26,2.0,0
C5311467,26,75.0,0
C6531557,26,99.0,0
C6843636,29,100.0,0
C2924287,29,135.0,0
C7135334,25,16.0,0
C2486155,26,50.0,0
C1120871,27,90.0,0
C6268538,27,50.0,0
C4536647,25,25.0,0
C6264862,27,40.95,0
C2024529,27,150.0,0
C1661125,22,50.0,0
C7241849,30,103.63,0
C2838146,25,148.0,0
C6131583,25,30.59,0
C8728166,30,148.0,0
C6438091,30,69.0,0
C6631784,27,30.0,0
C4815468,25,28.0,0
C3330174,27,140.0,0
C1926848,25,1.0,0
C8930621,25,100.0,0
C4840954,25,44.0,0
C4938828,26,100.0,0
C3630543,26,139.8,0
C7467342,26,50.0,0
C3918776,26,50.0,0
C7797271,29,138.82,0
C8816427,29,65.0,0
C7114525,25,30.0,0
C2213456,26,38.0,0
C2124359,25,78.0,0
C3533067,22,30.0,0
C4542787,30,120.0,0
C6995511,30,1.0,0
C3312435,25,69.0,0
C2037658,25,156.0,0
C6824164,30,110.0,0
C5219665,30,96.0,0
C7627957,27,50.0,0
C5924842,27,150.0,0
C2742511,30,50.0,0
C7731891,25,79.0,0
C7422120,26,142.0,0
C5914474,26,110.0,0
C5314278,26,0.95,0
C3112856,26,25.0,0
C3955377,29,151.0,0
C2630353,25,25.0,0
C3626666,25,10.0,0
C7332868,26,153.0,0
C7915170,27,60.0,0
C7059717,27,50.0,0
C7921477,26,110.0,0
C6537775,27,50.0,0
C5067668,26,147.0,0
C5434781,27,108.25,0
C1919761,26,100.0,0
C7925827,25,119.0,0
C6296372,26,130.0,0
C2822366,30,10.0,0
C5117176,30,60.0,0
C8717336,25,98.0,0
