CustomerID,Recency,Monetary,Cluster
C5228983,80,1580.0,2
C8718115,80,970.07,2
C7521538,80,500.0,2
C5813442,80,900.0,2
C6518580,80,659.0,2
C1410623,80,655.0,2
C7352734,80,2477.75,2
C7919133,80,764.0,2
C8529391,80,1145.0,2
C6284614,80,388.0,2
C2715553,80,1000.0,2
C4114816,80,658.0,2
C2626767,80,2199.0,2
C8892363,80,1297.56,2
C5411524,80,1030.0,2
C5341329,80,450.0,2
C6321384,80,700.0,2
C1918292,80,1289.0,2
C4234437,80,966.0,2
C6622223,80,440.0,2
C5230259,80,1569.6,2
C8717322,80,800.0,2
C2115329,80,890.0,2
C3738683,80,723.75,2
C7742065,80,859.0,2
C6565829,80,2000.0,2
C5752351,80,510.0,2
C5410376,80,1993.0,2
C5635431,80,1800.0,2
C8314456,80,350.0,2
C3615050,80,445.0,2
C8322922,80,615.0,2
C2721746,80,459.0,2
C9048454,81,560.0,2
C8588073,81,399.0,2
C4733463,81,500.0,2
C1411017,81,2547.0,2
C1440044,81,2169.0,2
C5427135,81,1154.0,2
C1715040,81,1364.0,2
C4423554,81,1005.0,2
C2418632,81,633.0,2
C6434282,81,2471.08,2
C7195730,81,1254.0,2
C2837235,81,929.92,2
C4140142,81,1490.0,2
C5319680,81,1889.0,2
C5116887,81,451.0,2
C5231145,81,2815.0,2
C7263879,81,988.6,2
C6532589,81,930.0,2
C2119553,81,1616.0,2
C5359586,81,423.0,2
C2434179,81,914.0,2
C8121129,81,2000.0,2
C6935446,81,850.0,2
C6036447,81,470.0,2
C1715338,81,1000.0,2
C3421277,81,2000.0,2
C1236181,81,350.0,2
C3410989,81,399.0,2
C6832852,82,365.0,2
C3731416,81,500.0,2
C5796792,81,600.0,2
C8918229,81,975.0,2
C7420469,82,500.0,2
C1823564,82,606.9,2
C4486736,82,1273.0,2
C3821947,82,557.0,2
C8929960,82,1170.0,2
C4637413,82,429.0,2
C8614481,82,1060.0,2
C1516290,82,1000.0,2
C7613151,82,900.0,2
C4214116,82,2398.0,2
C6142282,82,1728.64,2
C3838849,82,500.0,2
C6338667,82,2500.0,2
C6738386,82,1752.0,2
C6734828,82,700.0,2
C5712319,82,1050.0,2
C4110083,82,1148.0,2
C1178724,77,650.0,2
C4111378,82,500.0,2
C1475180,82,969.97,2
C8230463,77,646.72,2
C3664031,77,500.0,2
C8236888,82,2000.0,2
C2718972,77,389.4,2
C6011336,82,1533.0,2
C5526677,82,1499.0,2
C3819176,77,776.0,2
C8079541,77,1220.0,2
C8525571,77,367.0,2
C2433065,77,540.0,2
C5684784,77,500.0,2
C8892850,77,800.0,2
C1551959,77,916.0,2
C3426816,77,457.0,2
C5225977,77,1270.0,2
C2826755,77,849.0,2
C8482033,77,2000.0,2
C1019570,77,2384.98,2
C6926059,77,778.5,2
C9043630,77,2809.0,2
C8137461,77,1750.0,2
C1430542,77,1318.0,2
C6573573,77,360.0,2
C4522358,77,1830.33,2
C4016391,77,374.0,2
C8527192,77,1085.0,2
C6233313,77,680.0,2
C1728929,77,500.0,2
C5581032,77,1110.0,2
C6840588,77,450.0,2
C4714179,77,536.0,2
C4710626,77,796.0,2
C7424653,77,1000.0,2
C4016127,77,1546.0,2
C7759538,77,1500.0,2
C1431572,77,1836.0,2
C4738866,77,430.0,2
C4610557,77,2446.06,2
C8421150,77,790.0,2
C7488712,77,536.0,2
C3726691,78,2650.0,2
C6824667,77,2098.09,2
